DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
AUGUSTA,NAPSo Programada,0,2021-07-11 05:52:39,2021-07-11 20:32:11,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-06-29 10:36:34,2021-06-29 15:35:25,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-03-12 09:58:51,2021-03-12 13:54:12,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-04-10 15:14:50,2021-04-10 17:12:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-02-14 17:27:00,2021-02-14 18:29:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-04-27 15:41:48,2021-04-27 18:25:55,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-03-10 08:16:00,2021-03-10 14:57:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 17:30:56,2021-01-31 09:45:09,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 07:07:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 03:59:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-06-12 19:24:56,2021-06-13 00:08:09,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,NAPSo Programada,0,2021-02-26 09:38:19,2021-02-26 13:12:40,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2021
AUGUSTA,NAPSo Programada,0,2021-01-17 01:07:01,2021-01-17 03:05:53,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-22 07:10:45,2021-01-22 10:38:42,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-06-01 07:29:25,2021-06-02 19:20:48,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-06-01 07:29:34,2021-06-02 19:20:52,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-01-29 01:47:03,2021-01-29 07:07:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-10-08 12:00:27,2021-10-08 15:36:08,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-10-22 08:53:08,2021-10-22 10:50:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,Programada,0,2021-09-25 01:10:13,2021-09-25 04:20:00,Interna - Programada - Alteracao - Para melhoria,2021
AUGUSTA,NAPSo Programada,0,2021-09-10 12:40:48,2021-09-10 15:58:51,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,NAPSo Programada,6,2021-10-22 07:16:00,2021-10-22 09:05:00,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2021
AUGUSTA,NAPSo Programada,0,2021-10-07 09:01:24,2021-10-07 13:30:11,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2021
AUGUSTA,NAPSo Programada,0,2021-10-20 08:25:26,2021-10-20 11:10:05,Interna - Nao Programada - Terceiros - Roubo,2021
AUGUSTA,NAPSo Programada,0,2021-08-28 21:30:39,2021-08-29 13:30:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-09-14 18:50:00,2021-09-14 22:30:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-11-09 06:31:38,2021-11-09 21:39:56,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-09-26 22:34:43,2021-09-27 21:10:31,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-10-23 13:31:17,2021-10-23 15:20:00,Interna - Nao Programada - Terceiros - Abalroamento,2021
AUGUSTA,NAPSo Programada,0,2021-09-01 20:29:57,2021-09-01 23:02:49,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2021
AUGUSTA,NAPSo Programada,0,2021-10-15 13:13:40,2021-10-15 16:18:37,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,Programada,0,2021-09-18 12:00:40,2021-09-18 13:04:42,Interna - Programada - Alteracao - Para melhoria,2021
AUGUSTA,NAPSo Programada,6,2021-10-28 17:59:00,2021-10-29 01:44:00,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2021
AUGUSTA,Programada,0,2021-10-02 23:30:41,2021-10-03 02:55:24,Interna - Programada - Alteracao - Para melhoria,2021
AUGUSTA,NAPSo Programada,6,2021-10-26 17:19:26,2021-10-27 02:05:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-10-26 09:51:34,2021-10-26 17:01:34,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-09-21 09:09:22,2021-09-22 11:51:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-08-04 18:25:55,2021-08-05 10:40:23,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,NAPSo Programada,0,2021-11-01 16:52:12,2021-11-02 01:15:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-12-06 08:37:00,2021-12-06 11:56:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-12-20 10:09:50,2021-12-21 21:56:30,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2021
AUGUSTA,NAPSo Programada,6,2021-11-26 09:50:01,2021-11-26 12:36:27,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,6,2021-11-26 09:49:36,2021-11-26 12:36:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-12-13 10:26:33,2021-12-14 20:20:50,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-11-15 16:23:30,2021-11-15 18:20:08,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-12-10 20:28:11,2021-12-11 20:08:00,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2021
AUGUSTA,NAPSo Programada,0,2021-11-13 08:41:27,2021-11-13 13:15:35,Interna - Nao Programada - Terceiros - Roubo,2021
AUGUSTA,NAPSo Programada,0,2021-11-28 06:10:01,2021-11-28 09:15:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-11-27 20:21:12,2021-11-28 08:33:49,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
AUGUSTA,NAPSo Programada,0,2021-01-15 13:21:00,2021-01-15 13:53:23,Interna - Nao Programada - Falha operacional - Servico mal executado,2021
AUGUSTA,NAPSo Programada,0,2021-01-08 11:42:33,2021-01-08 17:00:13,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2021
