DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,Programada,0,2018-06-20 23:25:10,2018-06-21 05:07:47,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-10-21 09:00:29,2018-10-21 13:25:31,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-10-21 10:13:00,2018-10-21 10:29:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-10-21 10:23:00,2018-10-21 11:30:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-10-21 10:24:00,2018-10-21 11:30:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-06-21 00:50:57,2018-06-21 01:08:03,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-06-21 03:41:53,2018-06-21 04:02:09,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,3,2018-11-03 19:07:38,2018-11-04 16:40:24,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-05 03:49:04,2018-06-05 06:32:10,Interna - Nao Programada - Terceiros - Roubo,2018
PAULA SOUZA,Programada,0,2018-03-31 09:30:26,2018-03-31 09:34:49,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-07-21 09:30:35,2018-07-21 13:05:44,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-06 15:55:23,2018-01-06 18:17:29,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-20 05:33:54,2018-05-20 09:03:56,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-06 02:15:40,2018-03-06 13:00:01,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-20 10:35:30,2018-03-21 08:32:58,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,3,2018-11-03 19:49:46,2018-11-04 03:56:38,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-05 10:18:15,2018-05-05 14:55:54,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-20 19:48:47,2018-05-20 20:34:05,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,3,2018-11-03 19:52:00,2018-11-04 08:46:13,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-22 17:55:47,2018-07-22 21:40:57,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-01 20:36:30,2018-04-01 22:15:16,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-07 11:28:22,2018-03-07 14:01:50,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,3,2018-11-03 19:52:00,2018-11-04 08:46:13,Interna - Nao Programada - Meio ambiente - Vento,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-01 17:49:57,2018-04-01 23:07:56,Interna - Nao Programada - Falha operacional - Servico mal executado,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-07 12:52:27,2018-01-07 14:48:39,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-26 18:10:53,2018-01-26 19:35:48,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-14 10:27:54,2018-11-14 15:40:37,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-08-17 08:41:22,2018-08-17 10:56:42,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 10:00:45,2018-04-01 14:10:57,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-07-22 09:54:00,2018-07-22 09:57:02,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 10:00:58,2018-04-01 14:10:06,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-07-22 09:54:00,2018-07-22 09:57:02,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-07-22 09:54:33,2018-07-22 15:49:45,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-08-17 07:44:48,2018-08-17 15:06:06,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-08-04 09:30:41,2018-08-04 15:57:22,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 09:00:10,2018-04-01 13:48:45,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 09:00:10,2018-04-01 13:48:45,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 09:00:10,2018-04-01 13:48:45,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-08-04 09:37:33,2018-08-04 16:01:46,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-01 09:00:35,2018-04-01 13:51:10,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-08-04 09:30:41,2018-08-04 15:57:22,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-20 15:33:00,2018-05-20 20:34:05,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-20 15:33:00,2018-05-20 16:06:17,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-07-22 09:30:27,2018-07-22 15:48:59,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-09-19 15:20:00,2018-09-19 16:11:15,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2018
PAULA SOUZA,Programada,0,2018-01-21 09:15:00,2018-01-21 15:11:46,Interna - Programada - Alteracao - Para melhoria,2018
