DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-12 18:36:00,2024-01-12 19:05:30,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;DESLIGAMENTO PARA MANUTENCAO EMERGENCIAL,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-27 07:32:47,2024-04-27 10:13:08,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-06-06 11:28:06,2024-06-06 22:22:31,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;SERVICO MAL EXECUTADO,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 10:59:09,2024-02-26 18:06:24,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-28 09:45:03,2024-05-28 17:20:05,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-17 04:01:41,2024-04-17 09:00:22,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-01-12 14:55:33,2024-01-12 16:48:51,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-27 10:32:11,2024-04-27 13:11:59,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,6,2024-02-26 12:36:25,2024-02-26 20:13:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-17 03:14:23,2024-04-17 06:13:17,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-17 03:14:23,2024-04-17 11:54:57,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-17 10:38:00,2024-05-18 04:29:03,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-25 14:46:31,2024-04-25 19:18:15,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
