eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
CESAR MARTINEZ,"IRAE, 155",INDIANOPOLIS,04075-000,,50525716,SUL,32,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (330834.448053 7388902.263039),-23.601585075042358,-46.65797389803349
CLORINDA DANTI PROFESSORA,"AVENIDA CORIFEU DE AZEVEDO MARQUES, 2700",VILA LAGEADO,05340-000,,37357838,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322497.945 7392198.95765),-23.570926804954613,-46.73925810797179
DANIEL PAULO VERANO PONTES PROFESSOR,"AVENIDA JOSE JOAQUIM SEABRA, 1187",RIO PEQUENO,05364-000,,37680900,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (320890.213488 7392403.136222),-23.568906318169184,-46.75498128834573
LUIS ELIAS ATTIE,"HEITOR ANTONIO EIRAS GARCIA ENGENHEIRO, 6821",JARDIM ESMERALDA,05564-200,,,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (317732.470111 7388977.359921),-23.599483118351042,-46.786329096045876
EMYGDIO DE BARROS PROFESSOR,"AVENIDA NOSSA SENHORA DA ASSUNCAO, 292",VILA BUTANTA,05359-000,,37317810,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322200.142912 7391946.024782),-23.573177757453593,-46.74220521759124
ENNIO VOSS PROFESSOR,"AVENIDA PORTUGAL, 1220",BROOKLIN PAULISTA,04559-002,,55310891,OESTE,35,11,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (328071.021887 7387040.849074),-23.618099933659728,-46.685263826360284
ALBERTO LEVY PROFESSOR,"AVENIDA INDIANOPOLIS, 1570",INDIANOPOLIS,04062-001,,22754118,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (331512.58266 7387710.246206),-23.61241858503454,-46.65146456596533
ALBERTO TORRES,"AVENIDA DOUTOR VITAL BRASIL, 1260",BUTANTA,05503-000,,37264360,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (325049.893375 7392517.63818),-23.568327287820345,-46.71422417885759
ANA ROSA DE ARAUJO DONA,"RUA EDEN, 100",VILA INAH,05619-000,,37427359,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (323743.565027 7390201.187631),-23.589100063143075,-46.727293251808895
ANDRONICO DE MELLO PROFESSOR,"RUA THEO DUTRA, 33",JARDIM COLOMBO,05628-000,,37737829,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (323451.53236 7389308.247904),-23.59713023761369,-46.730259888925886
ADALGIZA SEGURADO DA SILVEIRA PROFESSORA,"AVENIDA PROFESSOR GIOIA MARTINS, 686",JARDIM MONTE KEMEL,05632-020,,37422697,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322922.882835 7388897.527319),-23.60078066436932,-46.73548787357481
ADOLFINO DE ARRUDA CASTANHO PROFESSOR,"PROFESSORA ANA MARIA LELIS DA SILVA, 252",RIO PEQUENO,05361-010,,37687040,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321462.517608 7392755.438505),-23.56578873728529,-46.74933354431587
ADOLFO GORDO SENADOR,"ARMANDO LOMBARDI DOM, 223",VILA PROGREDIOR,05616-010,,37219552,OESTE,54,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (324445.963759 7390402.77529),-23.587356370812504,-46.72038850202222
VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO,"RUA DOMINGOS BARBIERI, 350",JARDIM PREVIDENCIA,05531-060,,37215383,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (324472.68834 7391655.666593),-23.576047305575436,-46.71997925362552
PEDRO FONSECA PROFESSOR,"RUA RUBENS GRISOLIA, 65",JARDIM MONTE KEMEL,05634-150,,37427486,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322466.287744 7388574.649084),-23.603645720711402,-46.739999720700865
